"Time (s)","Sound pressure level (dB)"
3.287202600E-1,-3.336344084E1
5.296071350E-1,-3.009198739E1
7.346760940E-1,-2.612849579E1
9.309233330E-1,-2.829444001E1
1.135553802E0,-2.858148781E1
1.332952968E0,-2.767812787E1
1.534058958E0,-2.593834540E1
1.738826041E0,-2.653382875E1
1.940038333E0,-2.817794317E1
2.136470312E0,-3.036524004E1
2.337547082E0,-2.916386438E1
2.534223384E0,-2.717812721E1
2.729050728E0,-2.731443709E1
2.934678280E0,-2.671292755E1
3.132632030E0,-2.734487923E1
3.332736301E0,-2.643397843E1
3.535424113E0,-2.347297586E1
3.733454686E0,-2.195029036E1
3.942909946E0,-2.310696239E1
4.139943176E0,-2.363918527E1
4.336805050E0,-2.784925487E1
4.547441873E0,-2.830279548E1
4.734944217E0,-2.823125102E1
4.933241873E0,-3.016770031E1
5.136357029E0,-2.938655203E1
5.336692706E0,-2.887957947E1
5.533726873E0,-2.898984238E1
5.734955935E0,-2.915410784E1
5.933707029E0,-2.868811798E1
6.140790206E0,-2.761896189E1
6.333470206E0,-2.531848153E1
6.533414685E0,-2.668433182E1
6.733532706E0,-2.530792821E1
6.933198018E0,-2.361132640E1
7.136107289E0,-2.435453816E1
7.333690987E0,-2.731070301E1
7.533602601E0,-2.516850740E1
7.734759997E0,-2.641967837E1
7.934422341E0,-2.671248946E1
8.138797809E0,-2.002501762E1
8.336710466E0,-2.126451499E1
8.535363174E0,-1.997005812E1
8.733785830E0,-2.381361997E1
8.939964736E0,-2.753364779E1
9.134012444E0,-2.586780225E1
9.337951507E0,-2.649644085E1
9.551270882E0,-2.665999839E1
9.744698538E0,-2.583065701E1
9.937908798E0,-2.636463290E1
1.014509229E1,-2.690471495E1
1.034360791E1,-2.569438754E1
1.054499302E1,-2.630374326E1
1.073635781E1,-2.910666029E1
1.093645698E1,-2.439503098E1
1.115968359E1,-2.352634505E1
1.133400750E1,-2.441801176E1
1.153833604E1,-2.560463443E1
1.174159619E1,-2.580710981E1
1.193508739E1,-2.656750505E1
1.213372963E1,-2.526690359E1
1.233769000E1,-2.387348830E1
1.253710624E1,-2.051826273E1
1.274110697E1,-2.294751275E1
1.293668333E1,-2.237517527E1
1.313842458E1,-2.309380204E1
1.333757015E1,-2.487907171E1
1.353828255E1,-2.682799790E1
1.373819062E1,-2.700205203E1
1.394424093E1,-2.406038698E1
1.413617437E1,-2.343517577E1
