"Time (s)","Sound pressure level (dB)"
0.000000000E0,-∞
2.975318750E-1,-∞
4.974616660E-1,-5.335487172E1
6.995274990E-1,-4.637085641E1
8.980686450E-1,-4.313691469E1
1.105670416E0,-3.979075463E1
1.298149322E0,-4.515763997E1
1.501289999E0,-4.500608872E1
1.702471718E0,-4.664726402E1
1.902618332E0,-4.614048250E1
2.101765155E0,-4.463318901E1
2.301667551E0,-4.613600296E1
2.498424061E0,-4.555326470E1
2.701501874E0,-4.617240850E1
2.897972811E0,-4.497528587E1
3.101412030E0,-4.492412646E1
3.302363384E0,-4.524748086E1
3.497817759E0,-4.625130354E1
3.698228905E0,-4.752830423E1
3.902558123E0,-4.469513820E1
4.097222863E0,-4.553022111E1
4.303992186E0,-4.594391091E1
4.501691144E0,-4.742251529E1
4.702256925E0,-4.656757379E1
4.902655571E0,-4.715685504E1
5.101971248E0,-4.564067969E1
5.303632602E0,-4.629170063E1
5.502205623E0,-4.318474006E1
5.703401143E0,-4.702588716E1
5.897539685E0,-4.744958676E1
6.104490102E0,-4.798190747E1
6.301763227E0,-4.463063609E1
6.502218643E0,-4.315766331E1
6.702278799E0,-4.533023284E1
6.902900883E0,-4.605803803E1
7.102549945E0,-4.389610232E1
7.301760205E0,-4.611290991E1
7.502467393E0,-4.781053288E1
7.703591768E0,-4.431924236E1
7.905727288E0,-4.657260598E1
8.107861663E0,-4.792239195E1
8.302471194E0,-4.589481147E1
8.505997288E0,-4.635238085E1
8.707885101E0,-4.680169493E1
8.906070048E0,-4.579567692E1
9.108496767E0,-4.639535822E1
9.307078746E0,-4.526836649E1
9.502372861E0,-4.503724743E1
9.701896090E0,-4.718047350E1
9.906157236E0,-4.541079373E1
1.010547062E1,-4.263341484E1
1.030595672E1,-4.444820065E1
1.050895458E1,-4.596877902E1
1.072457682E1,-4.555473190E1
1.090095088E1,-4.751403338E1
1.109775073E1,-4.852002893E1
1.130353838E1,-4.460487187E1
1.150333364E1,-4.366221799E1
1.169819692E1,-4.657764277E1
1.190159276E1,-4.649475262E1
1.210130651E1,-4.636490129E1
1.229731479E1,-4.554818735E1
1.250238286E1,-4.812189813E1
1.270560354E1,-4.638738836E1
1.290337291E1,-4.433392191E1
1.310188296E1,-4.708097287E1
1.330558968E1,-4.666756034E1
1.350722312E1,-4.638224742E1
1.370971729E1,-4.460488340E1
1.390605390E1,-4.500500008E1
1.410251453E1,-4.561977085E1
1.431063708E1,-4.544337794E1
1.450553333E1,-4.553970896E1
1.470269942E1,-4.474609065E1
1.490466854E1,-4.506735183E1
1.510589364E1,-4.573438266E1
1.531131598E1,-4.554752915E1
1.550485255E1,-4.478792520E1
1.571198437E1,-4.519159693E1
1.590709213E1,-4.350779207E1
1.610334166E1,-4.566019950E1
1.630538458E1,-4.471369544E1
1.650577635E1,-4.691150621E1
1.670489478E1,-4.639439801E1
1.681394187E1,-4.493786660E1
1.700449760E1,-4.505790027E1
1.722233286E1,-4.485184638E1
1.740776223E1,-4.730435614E1
1.760583463E1,-4.372851474E1
1.781231400E1,-4.575305636E1
1.800471749E1,-4.711532887E1
1.820350572E1,-4.730145089E1
1.842163619E1,-4.427456851E1
1.860449525E1,-4.201970744E1
1.880216682E1,-4.445657058E1
1.900317593E1,-4.267041307E1
1.920106499E1,-4.730956269E1
1.940567932E1,-4.466567851E1
1.960260004E1,-4.779542866E1
1.980469166E1,-4.582166160E1
2.000681817E1,-4.519604729E1
2.020640223E1,-4.542116910E1
2.040763754E1,-4.629662831E1
2.060630338E1,-4.584752697E1
2.081179176E1,-4.421301864E1
2.100603499E1,-4.571067649E1
2.120526963E1,-4.295528690E1
2.140422525E1,-4.651007975E1
2.160824129E1,-4.469030027E1
2.180513067E1,-4.399489744E1
2.201689416E1,-4.342306798E1
2.220896025E1,-4.623721286E1
2.240703708E1,-4.452368310E1
2.260769036E1,-4.287829829E1
2.281194088E1,-4.509321250E1
2.300438051E1,-4.716993914E1
2.320692004E1,-4.683110017E1
2.340552640E1,-4.510561349E1
2.360907812E1,-4.522051625E1
2.380544838E1,-4.387515850E1
2.400846260E1,-4.434576932E1
2.421099791E1,-4.352796813E1
2.440666134E1,-4.663746368E1
2.460975916E1,-4.275560898E1
2.482430827E1,-4.398993488E1
2.500756223E1,-4.820794801E1
2.520927072E1,-4.405442448E1
2.540850181E1,-4.427468153E1
2.560590598E1,-4.488196874E1
2.581372358E1,-4.574467325E1
2.600427166E1,-4.406177891E1
2.621549114E1,-4.466423617E1
2.641279020E1,-4.585914588E1
2.660565009E1,-4.674259676E1
2.681328056E1,-4.563332391E1
2.700568535E1,-4.176251754E1
2.720598160E1,-4.539672475E1
2.740616869E1,-4.470822933E1
2.759920910E1,-4.747525408E1
2.780988728E1,-4.549877208E1
2.800276608E1,-4.422298135E1
2.820587681E1,-4.583859564E1
2.840713254E1,-4.433518342E1
2.860700660E1,-4.422705716E1
2.880446030E1,-4.382178191E1
2.900706535E1,-4.368582696E1
2.920578358E1,-4.432957621E1
2.940718619E1,-4.621524592E1
2.960803337E1,-4.539500157E1
2.981195650E1,-4.767396179E1
3.001729452E1,-4.744306976E1
3.020246160E1,-4.701169195E1
3.041384942E1,-4.557670699E1
3.061126718E1,-4.609952155E1
3.080765629E1,-4.482271159E1
3.100535842E1,-4.250928550E1
3.120234442E1,-4.446954074E1
3.141443785E1,-4.534251852E1
3.160445796E1,-4.728565753E1
3.180543816E1,-4.519968025E1
3.201332342E1,-4.247811842E1
3.220217660E1,-4.564716263E1
3.242020759E1,-4.542951935E1
3.260288785E1,-4.541282842E1
3.281081233E1,-4.284548085E1
3.300540926E1,-4.253542654E1
3.321362259E1,-4.494734867E1
3.341022853E1,-4.714226698E1
3.360594973E1,-4.485966400E1
3.380647842E1,-4.682087455E1
3.400882874E1,-4.644521832E1
3.420257608E1,-4.678123825E1
3.440681087E1,-4.747019391E1
3.460851733E1,-4.634755031E1
3.481397665E1,-4.800891228E1
3.501320342E1,-4.578722099E1
3.521226004E1,-4.437772422E1
3.540945743E1,-4.619374963E1
3.560726811E1,-4.546098485E1
3.580818342E1,-4.630355081E1
3.600981082E1,-4.764944417E1
3.620189181E1,-4.894022513E1
3.640380634E1,-4.434610312E1
3.660419264E1,-4.464037566E1
3.680319363E1,-4.641662861E1
3.700872764E1,-4.443595964E1
3.720990993E1,-4.427766315E1
3.741380816E1,-4.331795203E1
3.760317822E1,-4.671407535E1
3.781564858E1,-4.597921600E1
3.801249186E1,-4.680056424E1
3.820413848E1,-4.425221993E1
3.840804785E1,-4.557120186E1
3.861092514E1,-4.418012372E1
3.881316592E1,-4.653092210E1
3.900892676E1,-4.685315586E1
3.920576420E1,-4.938010286E1
3.941042165E1,-4.644656587E1
3.960905113E1,-4.390138338E1
3.980229535E1,-4.443462313E1
4.001242363E1,-4.568213319E1
4.020550894E1,-4.716097508E1
4.041165332E1,-4.766202709E1
4.062068561E1,-4.495053780E1
4.080853853E1,-4.422493928E1
4.101498837E1,-4.607603309E1
4.120530728E1,-4.734921944E1
4.141139530E1,-4.549538114E1
4.160079613E1,-4.763073643E1
4.179858233E1,-4.626214474E1
